27,41,26,41,28,27,27,27,41,27,39,28,27,26,25,44,27,27,27,36,29,37,33,51,27,40,28,39,27,27,51,26,41,28,26,45,49,27,27,54,26,27,27,58,28,40,27,39,28,39,28,45,43,27,27,27,26,43,28,39,27,40,28,25,27,27,41,28,40,28
27,39,28,28,44,27,26,26,27,44,34,32,50,43,40
44,27,27,27,27,41,28,26,31,31,27,42,28,37,43,41
27,26,27,26,44,28,26,45,33,51,32,41,27,71,27,35
