34,24,24,24,23,24,24,23,24,24,23,25,58,46
26,41,26,41,25,24,25,23,24,24,25,55,25,25
26,37,25,24,24,25,24,24,38,25,24,30,50
26,25,25,24,24,42,26,24,23,25,24,55,25,25
