40,25,24,23,25,23,24,39,25,24,24,26,69,45,37,27,40
35,25,25,24,25,36,25,26,24,24,30
25,24,25,24,25,38,26,24,25,25,29,51
25,33,25,24,25,25,36,26,25,25,25,29
