42.44,34.91,39.21,35.21,52.85,42.65,34.65,31.25,34.36,34.56,45.75,80.68,33.8,48.38,43.3,41.34,42.32,62.32,49.88,62.21,57.29,37.46,46.38,101.37,54.95,41.46,36.42,40.1,68.47,39.69,33.92,35.3,35.4,34.48,37.59,49.22,59.87,48.53,69.65,44.77,34.76,44.22,40.98
35,32.84,42.16,33.39,54.49,36.25,35.69,33.69,34.56,34.91,36.63,38.58,31.17,36.84,41.2,40.26,33.16,34.77,38.4,31.45,34.04,44.11,38.2,44.54,34.26,35.9,34.82,36.99,40.36,35.25,38.49,34.37,50.25,65.31,42.54,45.79,44.39
39.95,52.22,37.62,58.1,41.67,36.65,33.57,35.48,37.58,36.51,42,48.32,33.09,40.31,33.89,29.59,35.83,30.02,33.43,36.31,33.75,32.73,41.82,33.98,31.08,35.44,34.95,38.77,30.9,38.35,44.16,55.39,51.74,37.83,36.98,40.33,35.84
36.75,35.89,39.56,56.12,31.34,41.41,33.48,33.81,35.19,34.97,37.46,36.08,48.47,39.21,34.65,32.49,34.51,30.52,37.24,30.13,34.39,32.35,33.86,37.05,35.67,37.69,39.7,36.18,37.08,33.61,34.61,37.37,29.3,36.73,36.59,48.53,42.95,48.07,42.49
