42,26,25,25,25,24,42,26,24,25,25,24,26,24,24,26,25,24,45,27,38,27,39,27,39,73,50,44,26,42,26,25,27,26,26,25,26,26,43,27,26,46,59,42,28,38,28,39,28,38,33,33
35,25,25,24,35,24,35,25,26,23,25,25,42,27,24,30,37,28,43,26,50,53
36,25,25,24,35,43,25,25,24,24,25,25,24,25,25,24,37,31,34,27,42,27,69,32
54,26,25,25,24,24,43,26,24,25,25,25,24,25,43,27,40,28,55,48,50,29
