40.27,37.99,29.12,31.4,30.95,33.89,31.17,31.43,33.11,31.58,31.9,28.67,31.61,29.67,29.47,30.66,28.98,29.94,30.92,28.87,32.42,30.25,27.79,33.57,29.29,30.24,31.95,30.51,30.72,32.08,33.63,31.37,35.4,33,38.75,30.75,33.15,30.37,29.86,30.28,31.71,28.75,29.73,30.7,43.15,29.6,52.15,27.65,34.07,36.81,42.29,73.13,32.04,38.36,36.83,42.97,32.56,31.32,32.72,30.75,31.05,30.15,32.69,31.43,31,27.92,30.62,33.92,28.65,32.41,28.99,31.47,29.66,29.3,30.02,30.67,30.2,31.96,28.55,30.95,28.43,30.25,34.12,29.07,29.1,29.15,32.35,29.01,29.3,31.9,30,28.88,30.77,28.56,31.6,29.01,30.34,28.75,31.84,28.86,28.78,32.02,29.33,32.59,31.04,49.06,29.69,28.54,32.4,28.33,30.3,32.82,29,29.04,30.25,31.69,30.03,30.89,31.33,28.56,31.29,28.03,31.99,29.12,29.13,32.21,29.7,32.14,28.81,30.25,32.54,30.51,30.26,30.03,31.96,29.24,28.8,31.99,29.49,30.05,30.61,31.27,28.66,29.55,31.58,29.62,31.45,28.99,29.06,30.85,29.89,32.56,29.93,32.54,28.76,29.56,31.01,31.02,34.6,30.23,28.91,31.21,31.03,31.32,31.47,28.08,32.96,28.97,30.67,31.98,32.24,31.21,28.81,30.28,29.8,32.11,30.4,30,31.89,29.34,29.76,31.74,28.82,29.15,32.53,30.78,28.9,29,31.55,28.97
39.04,35.08,69.74,39.71,31.6,31.33,31.44,33.14,28.96,32.26,32.15,29.63,29.57,31.85,29.27,30.28,31.83,28.84,29.69,30.94,32.38,28.54,31.44,31.86,29.5,31.29,29.62,29.06,32.53,30.49,28.96,32.77,29.66,32.19,29.29,29.42,31.91,29.09,40.08,32.27,29.01,30.11,28.97,31.78,28.66,29.73,32.05,28.7,29.96,29.7,32.47,30.76,29.27,28.56,31.78,28.93,31.16,29.86,28.82,29.88,31.96,28.85,28.81,31.6,30.45,28.64,30.91,29.96,31.85,29.81,29.2,30.13,31.78,28.75,30.75,30.83,28.95,30.16,31.35,28.46,30.92,29.6,31.48,28.28,30.25,31.68,29.3,28.58,31.79,29.1,31.94,31.7,28.65,30.76,29.89,29.8,31.06,28.43,32.18,28.64,29.21,31.37,29.13,31.13,29.65,29.53,33.93,31.62,32.04,29.07,29.51,32.03,29.22,31.19,28.84,29.43,30.43,34.1,31.29,34.8,29.65,31.95,33.7,29.32,29.04,30.45,37.8,44.41,30.5,35.05,29.37,31.12,28.32,31.13,30.76,33.87,33.11,31.16,35.51,34.51,31.89,31.44,32.37,28.84,33.32,28.46,32.03,28.9,31.74,30.24,29.69,29.08,32.22,29.82,30.25,31.07,28.66,31.83,29.2,32.13,28.89,31.78,29.24,32.1,28.96,31.54,28.58,31.99,28.27,30,31.6,34.37,29.61,28.63,28.55,30.77,31.24,30.93,29.53,29.05,30.98,29.91,29.55,31.98,29.41,31.17,31.03,29.84,30.13,30.33
40.25,35.22,42.97,35.1,33.17,29.76,30.32,30.2,30.18,32.26,30.88,31.38,30.2,28.58,34.31,28.94,30.16,31.03,30.02,28.66,30.34,30.7,31.03,31.21,30.56,29.14,31.46,28.65,30.7,28.85,30.45,31.12,28.63,29.5,32.2,28.98,31.23,28.98,28.93,41.26,32.43,29.56,31,31.96,28.7,30.25,29.15,30.25,32.62,29.29,30.12,30.72,30.18,32.65,29.37,31.95,27.71,30.05,31.26,29.22,30.61,28.31,30.51,31.19,30.51,29.55,30.2,32.51,27.93,31.51,29.81,29.75,31.41,29,29.04,31.92,29.98,29.52,29.88,28.56,28.82,31.91,30.36,28.81,29.28,31.1,30.69,29,30.69,29.69,31,30.4,31.29,29.33,29.64,32.6,28.59,32.07,28.5,32.22,30.4,28.91,31.56,31.67,31.19,28.66,29.67,30.7,31.23,30.88,30.14,31.25,29.46,29.92,31.15,28.85,30.59,30.72,32.9,29.18,30.81,29.27,30.16,31.37,29.22,30.47,31.39,28.69,29.21,31.59,28.92,30.95,31.62,28.23,30.94,31.38,28.66,31.64,28.68,29.34,32.04,29.66,29.8,28.24,31.73,29.69,30.95,27.59,31.31,28.6,30.6,31.56,29.56,30.63,31.31,29.14,28.81,31.71,30.41,28.58,29.1,30.89,30.41,31.18,31.01,28.7,29.58,30.18,31.21,28.71,30.58,30.17,31.33,30.95,28.61,31.79,29.78,29.96,30.83,31.02,29.36,28.78,29.37,31.75,29.79,29.64,27.91,30,30.74,30.51
29,31.4,28.6,31.23,29.14,31.06,29.97,29.12,30.4,29.13,30.5,29.27,30.43,28.87,30.9,31.86,30.04,32.3,31.13,30.71,28.84,29.21,29.44,29.69,29.87,31.92,28.63,32.76,28.88,31.74,28.51,31.87,29.11,33.74,30.62,28.75,30.34,30.68,30.66,40.75,32.08,41.27,43.77,41.08,32.21,30.22,33.14,29.8,32.36,29.02,44.11,31.39,29.07,31.88,30.11,30.57,30.95,28.5,32.06,29.92,32,30.35,28.8,32.16,29.34,31.28,29.99,31.52,29.01,30.29,31.46,28.83,30.73,32.03,28.43,31.07,28.65,30.45,29.87,30.42,31.24,28.95,29.56,30.49,32.12,28.58,28.79,30.85,29.24,33.4,30.49,29.83,31.36,29.48,30.74,31.36,32.04,28.88,29.14,32.33,30.57,29.07,28.85,32.56,29.13,31.07,31.41,28.75,28.96,31.84,31.67,29.48,31.4,28.61,30.52,29.89,30.43,31.4,29.53,31.15,29.73,31.43,28.84,31.41,28.52,31.07,30.19,30.54,31.45,30.58,31.66,28.82,31.82,29.13,28.95,31.79,29.59,30.96,28.82,30.12,30.52,31.61,28.32,31.09,28.46,30.38,31.63,31.31,28.5,30.69,30.73,28.55,30.48,32.03,28.24,30.38,31.01,28.4,30.4,28.85,31.27,30.44,29.34,31.68,30.43,31.58,30.96,28.83,30.32,30.62,30.07,30.38,30.91,28.28,31.81,29.9,31.67,28.75,28.93,31.22,32.11,32.09,33.2,29.07,28.81,31.15,29.58,30.57,30.01,29.36
