26,34,26,25,23,24,24,24,24,23,41,52,31,55,28,28
25,24,24,26,24,31,29,25,26,23,30,48
25,38,24,25,24,25,24,24,38,26,24,30,54
38,25,24,24,24,24,26,37,25,24,25,29,50
